Cliente;ID;Tipo;Data da Venda;Categoria;Vendedor;Regional;Duração do Contrato (Meses);Equipe;Valor
Cliente 1;20170022;Serviços;2018-01-02;Novo Logo;Vendedor 1;Brasil;1;Time 1;24800.0
Cliente 10;20180088;Serviços;2018-02-14;Novo Logo;Vendedor 1;Brasil;6;Time 1;302720.0
Cliente 10;20180104;Serviços;2018-03-13;Upselling;Vendedor 1;Brasil;1;Time 1;51894.86
Cliente 10;20180168;Serviços;2018-04-30;Upselling;Vendedor 1;Brasil;2;Time 1;51894.86
Cliente 10;20180169;Serviços;2018-04-30;Upselling;Vendedor 1;Brasil;2;Time 1;51894.86
Cliente 10;20180298;Serviços;2018-06-12;Upselling;Vendedor 1;Brasil;4;Time 1;138386.29
Cliente 10;20180296;Serviços;2018-06-20;Upselling;Vendedor 1;Brasil;1;Time 1;51895.2
Cliente 10;20180315;Serviços;2018-07-10;Upselling;Vendedor 1;Brasil;4;Time 1;145306.56
Cliente 10;20180317;Serviços;2018-07-13;Upselling;Vendedor 1;Brasil;6;Time 1;395862.54
Cliente 10;20180383;Serviços;2018-07-20;Upselling;Vendedor 1;Brasil;2;Time 1;69193.06
Cliente 10;20180412;Serviços;2018-08-22;Upselling;Vendedor 1;Brasil;6;Time 1;415161.6
Cliente 10;20180318;Serviços;2018-08-22;Upselling;Vendedor 1;Brasil;9;Time 1;622742.4
Cliente 10;20180445;Serviços;2018-08-31;Upselling;Vendedor 1;Brasil;1;Time 1;34596.8
Cliente 10;20180443;Serviços;2018-08-31;Upselling;Vendedor 1;Brasil;3;Time 1;77842.8
Cliente 10;20180437;Serviços;2018-09-19;Upselling;Vendedor 1;Brasil;3;Time 1;114169.44
Cliente 10;20180436;Serviços;2018-09-19;Upselling;Vendedor 1;Brasil;5;Time 1;380564.8
Cliente 10;20180551;Serviços;2018-11-13;Upselling;Vendedor 1;Brasil;1;Time 1;75248.04
Cliente 10;20180590;Serviços;2018-11-27;Upselling;Vendedor 1;Brasil;3;Time 1;108115.0
Cliente 10;20180316;Serviços;2018-12-13;Upselling;Vendedor 1;Brasil;4;Time 1;145306.56
Cliente 10;20180634;Serviços;2018-12-17;Upselling;Vendedor 1;Brasil;2;Time 1;176443.68
Cliente 10;20180670;Serviços;2018-12-20;Upselling;Vendedor 1;Brasil;2;Time 1;36326.64
Cliente 10;20190868;Serviços;2019-02-13;Upselling;Vendedor 1;Brasil;1;Time 1;36326.64
Cliente 10;20190902;Serviços;2019-02-15;Upselling;Vendedor 1;Brasil;3;Time 1;98600.88
Cliente 10;20191143;Serviços;2019-06-05;Upselling;Vendedor 1;Brasil;1;Time 1;520489.68
Cliente 10;20191625;Serviços;2019-09-30;Upselling;Vendedor 1;Brasil;3;Time 1;459488.75
Cliente 10;20191896;Serviços;2019-12-06;Upselling;Vendedor 1;Brasil;6;Time 1;456677.76
Cliente 10;20191705;Serviços;2019-12-30;Upselling;Vendedor 1;Brasil;3;Time 1;349075.92
Cliente 10;20202039;Serviços;2020-01-16;Renovação;Vendedor 1;Brasil;1;Time 1;115493.52
Cliente 10;20202113;Serviços;2020-02-18;Upselling;Vendedor 14;Brasil;1;Time 3;121975.34
Cliente 10;20202161;Serviços;2020-03-17;Upselling;Vendedor 14;Brasil;1;Time 3;115001.93
Cliente 10;20202162;Serviços;2020-03-30;Upselling;Vendedor 14;Brasil;1;Time 3;154178.48
Cliente 10;20202233;Serviços;2020-04-01;Upselling;Vendedor 14;Brasil;3;Time 3;230040.0
Cliente 10;20202234;Serviços;2020-04-08;Upselling;Vendedor 14;Brasil;1;Time 3;141696.0
Cliente 10;20202175;Serviços;2020-04-09;Upselling;Vendedor 14;Brasil;3;Time 3;110592.0
Cliente 10;20202341;Serviços;2020-05-19;Upselling;Vendedor 14;Brasil;3;Time 3;228338.88
Cliente 10;20202398;Serviços;2020-06-09;Upselling;Vendedor 14;Brasil;2;Time 3;141846.88
Cliente 10;20202401;Serviços;2020-06-09;Upselling;Vendedor 14;Brasil;4;Time 3;283693.76
Cliente 10;20202399;Serviços;2020-06-19;Upselling;Vendedor 14;Brasil;5;Time 3;193742.08
Cliente 10;20202337;Serviços;2020-06-30;Upselling;Vendedor 14;Brasil;3;Time 3;16433.48
Cliente 10;20202471;Serviços;2020-07-07;Upselling;Vendedor 14;Brasil;5;Time 3;354617.2
Cliente 10;20202605;Serviços;2020-08-24;Renovação;Vendedor 14;Brasil;4;Time 3;328320.0
Cliente 10;20202583;Serviços;2020-09-28;Upselling;Vendedor 14;Brasil;1;Time 3;39996.6
Cliente 10;20202594;Produtos;2020-10-19;Upselling;Vendedor 1;Brasil;36;Time 1;356400.0
Cliente 10;20213488;Serviços;2021-02-10;Upselling;Vendedor 9;Brasil;11;Time 3;3487357.44
Cliente 100;20202206;Produtos;2020-05-15;Novo Logo;Vendedor 13;Brasil;37;Time 3;2891561.0
Cliente 101;20202319;Serviços;2020-05-26;Novo Logo;Vendedor 3;Brasil;12;Time 1;174050.0
Cliente 101;20191169;Licenciamento;2020-05-26;Novo Logo;Vendedor 3;Brasil;12;Time 1;837527.0
Cliente 102;20202693;Produtos;2020-06-04;Novo Logo;Vendedor 19;Brasil;3;Time 3;688500.0
Cliente 103;20202394;Produtos;2020-07-07;Novo Logo;Vendedor 19;Brasil;36;Time 3;224000.0
Cliente 104;20203105;Produtos;2020-08-01;Renovação;Vendedor 17;Brasil;13;Time 8;78698.51
Cliente 105;20202530;Serviços;2020-08-03;Novo Logo;Vendedor 1;Brasil;2;Time 1;53104.0
Cliente 106;20202567;Produtos;2020-08-17;Novo Logo;Vendedor 16;Brasil;18;Time 3;1649610.36
Cliente 107;20202390;Produtos;2020-08-17;Novo Logo;Vendedor 19;Brasil;61;Time 3;483800.0
Cliente 108;20203129;Produtos;2020-08-18;Novo Logo;Vendedor 13;Brasil;35;Time 3;1517436.72
Cliente 108;20202418;Produtos;2020-08-18;Novo Logo;Vendedor 7;Brasil;35;Time 5;3034873.44
Cliente 109;20202537;Serviços;2020-08-28;Novo Logo;Vendedor 13;Brasil;2;Time 3;49279.44
Cliente 109;20213277;Produtos;2021-01-08;Cross selling;Vendedor 13;Brasil;12;Time 3;139200.0
Cliente 109;20202962;Serviços;2021-01-08;Cross selling;Vendedor 13;Brasil;12;Time 3;459605.28
Cliente 109;20213624;Serviços;2021-03-17;Upselling;Vendedor 13;Brasil;3;Time 3;35967.0
Cliente 109;20213577;Serviços;2021-03-22;Cross selling;Vendedor 13;Brasil;12;Time 3;1229003.3
