"cliente","id","tipo","data_da_venda","categoria","vendedor","regional","duracao_do_contrato_meses","equipe","valor"
"Cliente 1","2017-0022","Serviços","2018-01-02","Novo Logo","Vendedor 1","Brasil",1,"Time 1","R$ 24.800,00"
"Cliente 10","2018-0088","Serviços","2018-02-14","Novo Logo","Vendedor 1","Brasil",6,"Time 1","R$ 302.720,00"
"Cliente 10","2018-0104","Serviços","2018-03-13","Upselling","Vendedor 1","Brasil",1,"Time 1","R$ 51.894,86"
"Cliente 10","2018-0168","Serviços","2018-04-30","Upselling","Vendedor 1","Brasil",2,"Time 1","R$ 51.894,86"
"Cliente 10","2018-0169","Serviços","2018-04-30","Upselling","Vendedor 1","Brasil",2,"Time 1","R$ 51.894,86"
"Cliente 10","2018-0298","Serviços","2018-06-12","Upselling","Vendedor 1","Brasil",4,"Time 1","R$ 138.386,29"
"Cliente 10","2018-0296","Serviços","2018-06-20","Upselling","Vendedor 1","Brasil",1,"Time 1","R$ 51.895,20"
"Cliente 10","2018-0315","Serviços","2018-07-10","Upselling","Vendedor 1","Brasil",4,"Time 1","R$ 145.306,56"
"Cliente 10","2018-0317","Serviços","2018-07-13","Upselling","Vendedor 1","Brasil",6,"Time 1","R$ 395.862,54"
"Cliente 10","2018-0383","Serviços","2018-07-20","Upselling","Vendedor 1","Brasil",2,"Time 1","R$ 69.193,06"
"Cliente 10","2018-0412","Serviços","2018-08-22","Upselling","Vendedor 1","Brasil",6,"Time 1","R$ 415.161,60"
"Cliente 10","2018-0318","Serviços","2018-08-22","Upselling","Vendedor 1","Brasil",9,"Time 1","R$ 622.742,40"
"Cliente 10","2018-0445","Serviços","2018-08-31","Upselling","Vendedor 1","Brasil",1,"Time 1","R$ 34.596,80"
"Cliente 10","2018-0443","Serviços","2018-08-31","Upselling","Vendedor 1","Brasil",3,"Time 1","R$ 77.842,80"
"Cliente 10","2018-0437","Serviços","2018-09-19","Upselling","Vendedor 1","Brasil",3,"Time 1","R$ 114.169,44"
"Cliente 10","2018-0436","Serviços","2018-09-19","Upselling","Vendedor 1","Brasil",5,"Time 1","R$ 380.564,80"
"Cliente 10","2018-0551","Serviços","2018-11-13","Upselling","Vendedor 1","Brasil",1,"Time 1","R$ 75.248,04"
"Cliente 10","2018-0590","Serviços","2018-11-27","Upselling","Vendedor 1","Brasil",3,"Time 1","R$ 108.115,00"
"Cliente 10","2018-0316","Serviços","2018-12-13","Upselling","Vendedor 1","Brasil",4,"Time 1","R$ 145.306,56"
"Cliente 10","2018-0634","Serviços","2018-12-17","Upselling","Vendedor 1","Brasil",2,"Time 1","R$ 176.443,68"
"Cliente 10","2018-0670","Serviços","2018-12-20","Upselling","Vendedor 1","Brasil",2,"Time 1","R$ 36.326,64"
"Cliente 10","2019-0868","Serviços","2019-02-13","Upselling","Vendedor 1","Brasil",1,"Time 1","R$ 36.326,64"
"Cliente 10","2019-0902","Serviços","2019-02-15","Upselling","Vendedor 1","Brasil",3,"Time 1","R$ 98.600,88"
"Cliente 10","2019-1143","Serviços","2019-06-05","Upselling","Vendedor 1","Brasil",1,"Time 1","R$ 520.489,68"
"Cliente 10","2019-1625","Serviços","2019-09-30","Upselling","Vendedor 1","Brasil",3,"Time 1","R$ 459.488,75"
"Cliente 10","2019-1896","Serviços","2019-12-06","Upselling","Vendedor 1","Brasil",6,"Time 1","R$ 456.677,76"
"Cliente 10","2019-1705","Serviços","2019-12-30","Upselling","Vendedor 1","Brasil",3,"Time 1","R$ 349.075,92"
"Cliente 10","2020-2039","Serviços","2020-01-16","Renovação","Vendedor 1","Brasil",1,"Time 1","R$ 115.493,52"
