"Receita em R$","trimestre"
"R$ 9.214.708,51","2018-01-01 00:00:00"
"R$ 24.329.411,79","2018-04-01 00:00:00"
"R$ 17.807.820,99","2018-07-01 00:00:00"
"R$ 28.684.705,77","2018-10-01 00:00:00"
"R$ 14.924.051,07","2019-01-01 00:00:00"
"R$ 48.639.438,83","2019-04-01 00:00:00"
"R$ 35.105.020,45","2019-07-01 00:00:00"
"R$ 41.333.096,43","2019-10-01 00:00:00"
"R$ 72.307.629,80","2020-01-01 00:00:00"
"R$ 49.069.698,10","2020-04-01 00:00:00"
"R$ 52.073.231,25","2020-07-01 00:00:00"
"R$ 43.522.269,02","2020-10-01 00:00:00"
"R$ 47.535.693,63","2021-01-01 00:00:00"
"R$ 33.542.666,98","2021-04-01 00:00:00"
