Vendedor;Total de Vendas
Vendedor 3;R$ 166.220.477,72
Vendedor 7;R$ 57.799.181,73
Vendedor 10;R$ 52.212.055,49
Vendedor 8;R$ 47.274.510,01
Vendedor 1;R$ 30.929.480,27
Vendedor 9;R$ 26.374.558,54
Vendedor 13;R$ 24.837.304,87
Vendedor 18;R$ 22.662.296,25
Vendedor 29;R$ 19.076.866,26
Vendedor 4;R$ 17.346.823,03
Vendedor 14;R$ 7.558.041,75
Vendedor 20;R$ 7.520.906,99
Vendedor 19;R$ 6.513.184,00
Vendedor 2;R$ 5.673.760,88
Vendedor 16;R$ 4.879.238,00
Vendedor 6;R$ 3.548.886,69
Vendedor 28;R$ 3.307.137,75
Vendedor 12;R$ 3.019.669,14
Vendedor 22;R$ 2.150.000,00
Vendedor 21;R$ 1.943.240,00
Vendedor 23;R$ 1.941.880,09
Vendedor 11;R$ 1.221.786,61
Vendedor 17;R$ 1.133.803,11
Vendedor 5;R$ 913.900,00
Vendedor 24;R$ 583.970,00
Vendedor 30;R$ 515.446,83
Vendedor 27;R$ 420.000,00
Vendedor 26;R$ 384.000,00
Vendedor 15;R$ 86.504,61
Vendedor 25;R$ 40.532,00
